$aa,$sced,$cplx,$site,$resl,$acap,$etat,$rely,$Data,$prec,$pmat,$aexp,$flex,$pcon,$tool,$time,$stor,$docu,$b,$plex,$pcap,$kloc,$ltex,$pr,$ruse,$team,$pvol,<$Effort,<$Months,<$Defects,<$Risks
2.9723,1.0,1.31152,0.92049,3.24305,0.84213,1.36781,1.05164,0.99623,6.03712,4.84449,1.15886,3.15611,1.25052,1.09,1.02033,1.0056,0.92941,9.0631,1.03857,0.98476,706.1702,0.96128,3.83707,1.05513,3.2022,1.19568,482.669501952,16.7459309897,4982.23520405,4.28954423592
1.22159,1.0,1.11322,0.95154,5.30798,0.7234,3.8822,1.05671,0.98752,3.48409,6.02558,1.04247,2.21653,1.14107,1.09,1.02019,1.03303,0.81237,3.54976,1.14881,0.82258,983.97371,1.03137,5.25647,1.1092,4.05759,0.9795,7301.96653034,54.1579644561,24201.0585569,0.0
2.56971,1.0,1.52447,0.84325,6.54351,0.95743,2.52341,1.22548,0.92418,6.09761,5.02398,0.92215,4.60148,1.01909,1.09,1.04396,1.03477,1.12821,8.56944,1.09794,0.97442,430.72001,0.91976,5.60102,1.07536,3.24831,1.00166,425.039303809,23.8772800362,3134.53368007,2.14477211796
4.43802,1.0,1.48498,0.92591,6.43364,0.95203,5.97816,1.24407,0.90877,4.10984,5.00822,1.04505,4.58029,1.10543,1.09,1.03241,1.02513,1.19371,3.36309,0.96124,0.80824,120.80185,0.98509,5.39263,0.95638,2.47436,1.11421,1788.12668725,35.5678317821,3252.35439519,0.536193029491
4.92988,1.0,1.68936,0.84895,1.53962,0.9088,5.94247,1.06125,0.98458,3.77177,4.87745,0.94195,2.04979,0.82697,1.09,1.04506,1.00223,0.92196,5.88975,1.023,0.827,767.78953,0.96988,1.33723,1.00834,4.70849,1.08977,1212.5556872,31.9411315999,18850.331641,1.87667560322
2.21445,1.0,1.6772,0.99972,2.43531,0.7759,5.66982,1.233,0.9711,4.60364,5.01658,1.05203,3.35316,1.06778,1.09,1.01019,1.03268,1.00518,7.53681,1.05511,0.85782,479.76552,1.15064,2.45416,1.03559,2.2542,1.23316,2032.99653032,49.5358005196,12049.5179007,1.87667560322
3.70527,1.0,1.50976,1.10442,3.63218,0.87488,4.24324,1.0711,0.98543,1.31518,4.83173,1.12385,3.80802,1.21322,1.09,1.05183,1.04322,1.09376,6.5861,1.16052,0.87444,878.44852,1.18521,3.42245,0.98089,2.68697,0.87457,472.38658895,16.8745943939,848.540447643,3.75335120643
3.87985,1.0,1.4709,1.04925,3.00139,0.71478,1.85838,1.03892,0.91251,4.78286,5.34564,0.82051,4.13204,0.81388,1.09,1.07235,1.03559,1.02197,9.01981,0.9994,0.99792,160.31477,1.17434,1.40176,1.10218,1.35361,1.28696,3622.78846607,34.6352702355,35574.898727,2.14477211796
4.09705,1.0,1.06402,1.01931,3.76214,0.9131,1.81693,1.14427,0.98165,2.66096,5.5641,1.01252,4.76881,1.17653,1.09,1.07478,1.04302,1.05272,5.80105,1.00147,0.79001,783.03144,0.99971,5.41397,1.04585,4.00396,1.19791,4019.57299256,33.845244432,103629.088821,7.77479892761
3.76581,1.0,1.18223,1.1001,6.64424,0.77652,5.11434,1.0434,0.93043,3.52023,5.58691,1.1117,4.18691,0.9334,1.09,1.09809,1.02343,0.95693,6.44211,1.05839,0.964,470.1701,1.19649,5.67495,1.22188,1.60095,0.90281,1682.51089167,29.7359519142,43747.7988463,1.60857908847
