$aa,$sced,$cplx,$site,$resl,$acap,$etat,$rely,$Data,$prec,$pmat,$aexp,$flex,$pcon,$tool,$time,$stor,$docu,$b,$plex,$pcap,$kloc,$ltex,$pr,$ruse,$team,$pvol,<$Effort,<$Months,<$Defects,<$Risks
5.83043,1.04277,1.46315,0.82921,2.83,0.85682,4.0097,1.26,1.14,3.08648,2.73735,1.0944,3.04,1.08361,0.86261,1.0,1.0,1.02308,5.05339,0.97821,1.0,75.53983,0.9538,4.97049,0.98342,3.29,1.0,555.647112685,34.6091497946,1908.66381555,1.34048257373
1.81211,1.07334,1.68223,0.8943,2.83,0.90113,3.83018,1.26,1.14,3.62853,2.42267,1.05518,3.04,1.02535,0.87947,1.0,1.0,1.07398,6.65744,0.98472,1.0,108.66874,0.99617,3.90957,0.98576,3.29,1.0,34.1916962548,8.92214201704,164.834665204,1.87667560322
4.52251,1.01934,1.51083,0.90331,2.83,1.1364,3.41532,1.26,1.14,2.23128,2.4994,1.02142,3.04,1.10271,1.08925,1.0,1.0,1.07055,5.98664,0.9631,1.0,123.08801,0.89293,5.52289,0.98595,3.29,1.0,2571.07980622,28.3977636109,8132.42262079,5.36193029491
1.2289,1.057,1.51726,0.9632,2.83,0.86644,4.79324,1.26,1.14,2.20578,2.64029,0.88885,3.04,1.03016,0.82253,1.0,1.0,1.06577,9.0553,0.94945,1.0,84.51011,1.02008,1.71106,1.01874,3.29,1.0,3671.50966603,59.9724112658,7147.44668304,0.268096514745
5.27971,1.11764,1.56614,0.99227,2.83,0.87751,4.24423,1.26,1.14,1.93679,2.68512,1.01988,3.04,1.0998,1.02598,1.0,1.0,1.02666,9.89969,0.94669,1.0,116.8808,1.04593,2.19571,1.03823,3.29,1.0,1902.42510812,50.5554733103,23779.2609416,2.68096514745
2.08341,1.04864,1.49975,0.82313,2.83,0.98721,2.38612,1.26,1.14,1.67478,2.05432,0.96845,3.04,1.02532,0.81207,1.0,1.0,1.02762,7.81181,0.99441,1.0,84.52002,1.00311,5.6343,1.00538,3.29,1.0,3275.50739515,57.0970571854,72930.2749932,2.9490616622
2.89059,1.12483,1.66108,0.96768,2.83,1.06705,4.19068,1.26,1.14,2.92997,2.80528,1.01577,3.04,1.04519,0.94825,1.0,1.0,1.07934,6.88823,0.98629,1.0,83.95898,1.08588,2.22663,0.989,3.29,1.0,3415.7806075,42.7715972021,9550.24164563,0.536193029491
4.60954,1.05571,1.42447,0.92704,2.83,1.06265,3.35336,1.26,1.14,1.25216,2.9,0.91802,3.04,1.07806,0.79389,1.0,1.0,1.06316,6.02962,0.94398,1.0,85.72078,0.87848,5.3904,1.00418,3.29,1.0,1382.27934145,47.1903388516,6727.58389032,0.0
2.13339,1.0949,1.53561,0.87814,2.83,0.98637,5.38758,1.26,1.14,3.43026,1.93622,0.91386,3.04,1.06789,0.82639,1.0,1.0,1.08459,8.47368,0.98697,1.0,98.12146,1.07707,1.48534,1.02909,3.29,1.0,1940.7680976,53.3168676695,7391.07058406,0.804289544236
4.11945,1.12923,1.42695,0.84917,2.83,0.9829,5.41545,1.26,1.14,3.38864,3.11427,0.99391,3.04,1.04211,0.95191,1.0,1.0,1.08535,3.07325,0.93965,1.0,79.66211,0.91966,3.3871,0.97193,3.29,1.0,1114.51392856,22.8952390049,10772.1143806,6.70241286863
3.26899,1.07137,1.47345,0.8845,2.83,1.09912,1.99185,1.26,1.14,3.4864,1.82955,0.96799,3.04,1.02424,1.08206,1.0,1.0,1.01016,5.92353,0.93424,1.0,100.43321,1.02079,3.83312,1.06518,3.29,1.0,1068.64893172,30.7007532805,7277.09241221,1.60857908847
1.18896,1.02204,1.36422,0.97216,2.83,1.17675,2.35567,1.26,1.14,1.43633,2.34546,0.94615,3.04,1.05683,0.81893,1.0,1.0,1.01672,5.51051,0.99281,1.0,100.56943,0.93547,4.3898,0.99191,3.29,1.0,630.552163662,26.5781403267,804.981979004,2.14477211796
4.28612,1.00986,1.52394,0.90076,2.83,1.01412,5.00799,1.26,1.14,3.12241,2.08173,1.01545,3.04,1.01666,1.07372,1.0,1.0,1.00755,3.32349,0.9698,1.0,110.92605,0.85875,4.23362,0.96778,3.29,1.0,1926.22591396,29.8961668173,8990.85232659,4.02144772118
3.79022,1.11368,1.58304,0.97078,2.83,1.04553,4.81802,1.26,1.14,2.06616,3.05284,0.9908,3.04,1.03457,0.78447,1.0,1.0,1.00429,6.16936,0.93376,1.0,92.15627,0.98943,3.55953,0.97374,3.29,1.0,1205.16632179,32.1009066236,3799.86518995,2.14477211796
1.99508,1.07793,1.40572,0.99352,2.83,1.14907,2.75799,1.26,1.14,2.79289,1.70093,0.93116,3.04,1.07769,0.85284,1.0,1.0,1.10308,6.74024,0.95458,1.0,112.12199,1.07852,3.5892,1.02769,3.29,1.0,7204.7626895,40.221353861,37059.8456726,6.43431635389
4.21421,1.03559,1.37437,0.97134,2.83,1.09565,1.24621,1.26,1.14,2.39497,2.26333,0.93837,3.04,1.07977,1.08756,1.0,1.0,1.07223,5.68908,0.967,1.0,76.89125,1.01418,5.4028,1.02591,3.29,1.0,864.38489457,39.2426195568,8098.03353059,1.60857908847
3.73704,1.0747,1.58471,0.82952,2.83,0.96497,5.98077,1.26,1.14,1.30834,2.76476,1.01957,3.04,1.01413,0.92967,1.0,1.0,1.03342,3.59389,0.93179,1.0,120.39356,0.8755,5.07644,1.00103,3.29,1.0,1600.83744129,37.4381650503,12505.1264157,0.536193029491
2.38612,1.10589,1.56361,0.96934,2.83,1.03921,3.41255,1.26,1.14,2.11526,1.73744,0.9329,3.04,1.0146,1.05077,1.0,1.0,1.09991,9.00314,0.93882,1.0,99.94109,0.85042,4.44153,0.99362,3.29,1.0,2707.1443184,29.1884959324,17429.5754342,2.68096514745
5.06658,1.08214,1.68951,0.80864,2.83,1.11035,4.09655,1.26,1.14,3.64656,2.97084,1.02732,3.04,1.01952,0.855,1.0,1.0,1.02194,6.73552,0.99321,1.0,105.58954,0.9967,4.8482,0.99011,3.29,1.0,2846.61373064,28.4885218568,5986.41801999,4.28954423592
1.625,1.08018,1.60041,0.84241,2.83,1.1557,1.0451,1.26,1.14,3.5249,2.27703,0.89904,3.04,1.09416,1.07994,1.0,1.0,1.0125,5.26872,0.95693,1.0,119.73047,1.04138,2.67869,1.06745,3.29,1.0,4868.15610618,35.6126104128,29908.4049986,6.70241286863
