$Culture,$Criticality,$Criticality Modifier,$Initial Known,$Inter-Dependency,$Dynamism,$Size,$Plan,$Team Size,<$Cost,<$Score,<$Idle
0.70685,0.91124,92.41478,0.58331,59.3277,17.85443,1.40809,4.66935,1.24832,6210.60341407,9999999999.26,0.444444444444
0.87715,1.15688,80.55832,0.43371,48.49471,36.67279,1.38222,4.89328,8.08826,17070.1220876,9999999999.53,0.576923076923
0.17299,1.17687,80.56824,0.51034,83.29855,37.08808,0.8466,0.18528,17.04395,7008.87721576,9999999999.4,0.25
0.24568,1.08893,86.53835,0.49901,36.0534,38.31635,0.21377,0.19632,6.02073,6476.51181828,9999999999.43,0.368421052632
0.38674,0.82374,85.18012,0.5269,82.50671,33.55459,0.04497,3.70415,2.86998,1930.98147375,9999999999.35,0.5
0.64405,0.87559,87.65827,0.5374,39.13617,47.79521,0.86518,2.1724,15.22494,2337.92034758,9999999999.38,0.266666666667
0.22604,1.168,91.86864,0.53185,74.14631,44.5967,0.62059,3.91709,13.79309,5819.77283605,9999999999.37,0.0
0.43484,1.02791,89.63664,0.66985,17.98012,8.04506,0.36601,1.57898,5.52609,6092.09858927,9999999999.1,0.5
0.65676,1.25075,91.04529,0.47509,82.54936,18.12865,1.21707,3.99475,17.12042,29737.0195171,9999999999.27,0.0
0.4769,0.86203,82.78213,0.64411,56.19335,44.7068,0.31642,3.65001,9.10822,2525.25064367,9999999999.49,0.142857142857
0.62321,0.89628,90.33866,0.57263,20.19493,13.30545,0.31903,2.22257,14.75592,3511.73470476,9999999999.18,0.0
0.53756,1.02278,94.51001,0.46342,16.86149,33.37014,0.75502,1.32144,13.89604,6413.10383472,9999999999.2,0.0
0.8313,0.83499,88.98055,0.47392,39.64412,21.52696,1.31028,1.61982,8.21926,2918.21496242,9999999999.42,0.508928571429
0.31323,1.09673,88.84003,0.58296,60.14762,40.66977,1.26747,0.8732,7.34346,10353.5395574,9999999999.39,0.172413793103
0.66067,0.94415,88.108,0.60457,67.08308,24.66781,1.82143,1.8233,10.53027,5979.2968635,9999999999.26,0.0
