$Culture,$Criticality,$Criticality Modifier,$Initial Known,$Inter-Dependency,$Dynamism,$Size,$Plan,$Team Size,<$Cost,<$Score,<$Idle
0.67497,0.84167,5.49054,0.35608,21.10425,42.86288,3.94314,0.92929,33.66179,771.271104167,9999999999.61,0.330696202532
0.55708,0.99616,2.91531,0.32071,3.85826,47.78161,2.5475,4.79155,30.67819,337.954645442,9999999999.62,0.301470588235
0.75836,1.10796,3.9164,0.24789,41.55621,43.41656,2.00175,1.4641,43.17336,659.862150734,9999999999.56,0.461267605634
0.81585,1.19611,2.7628,0.2649,34.61463,48.97944,3.73167,3.7699,36.46285,669.718095547,9999999999.61,0.46511627907
0.59216,1.03978,7.07518,0.41798,19.96053,42.62911,3.65059,0.51007,35.99625,1373.65933902,9999999999.56,0.0
0.89689,1.18538,4.76655,0.26843,9.53824,49.9484,2.41257,2.23284,21.68959,748.123325153,9999999999.61,0.451048951049
0.5472,0.96765,5.82303,0.28504,21.95979,47.57335,3.74312,3.78354,34.07104,1049.98569754,9999999999.56,0.36737804878
0.73655,0.97438,6.66529,0.43113,28.92513,42.15575,2.4442,2.06679,27.26207,1077.90770141,9999999999.57,0.188679245283
0.63004,1.13832,3.93309,0.41846,39.46681,43.59172,3.21653,0.03938,42.14574,841.645209451,9999999999.61,0.184115523466
0.74132,0.91092,5.67627,0.21454,27.13955,43.41361,2.56096,2.72239,20.81087,652.195485771,9999999999.57,0.256578947368
0.55185,1.00821,6.46778,0.30829,11.14928,46.63551,2.63189,2.48785,20.04367,863.296636784,9999999999.55,0.0104166666667
0.53113,1.14462,5.89877,0.22691,49.64347,43.37642,3.39372,2.95249,26.74653,1319.19850828,9999999999.59,0.537601626016
0.62877,0.89858,6.91016,0.22919,25.3338,41.81507,2.20102,1.15295,28.78477,765.343946037,9999999999.46,0.574257425743
0.50656,0.88437,3.67476,0.42799,0.76085,43.31903,2.98658,1.70277,24.30019,383.607730628,9999999999.43,0.484320557491
0.63387,1.01857,7.95462,0.27952,40.59552,44.88619,2.9615,2.3924,37.5827,1316.609653,9999999999.55,0.56862745098
0.85471,1.23082,7.05669,0.3122,29.14837,49.72169,2.14808,2.31774,39.96533,1660.62855842,9999999999.6,0.1953125
0.7498,0.90322,5.47556,0.42757,38.84444,40.43391,3.3493,0.08962,21.26465,729.965550245,9999999999.58,0.0861678004535
0.80243,1.17628,7.78948,0.25004,39.24869,45.42472,2.25454,0.12757,42.37293,1525.24176548,9999999999.68,0.445255474453
0.5527,1.20878,2.07018,0.32037,41.01165,47.54059,3.30152,1.25906,37.52532,474.595835372,9999999999.4,0.660295395308
0.56814,0.98969,3.73096,0.294,3.6022,48.5865,3.68867,0.87282,40.46305,628.397401079,9999999999.62,0.369487485101
0.6359,0.98085,7.52159,0.36867,42.0302,44.21733,2.1035,3.85737,33.29354,828.317855343,9999999999.55,0.16
0.68318,0.88869,4.2418,0.25566,37.17029,44.5824,3.91349,2.51933,22.87698,613.690485511,9999999999.57,0.0710526315789
0.54706,1.04865,2.68142,0.24191,6.66355,48.56708,2.00167,0.82679,21.84463,368.945248904,9999999999.63,0.50612244898
0.83313,0.83048,6.96887,0.4893,22.59949,43.03411,3.02715,1.33616,32.31982,834.452081686,9999999999.47,0.371612903226
0.60571,0.85858,3.64194,0.21177,22.70575,42.05423,2.70516,1.40737,35.46067,543.832659232,9999999999.42,0.637404580153
