$aa,$sced,$cplx,$site,$resl,$acap,$etat,$rely,$Data,$prec,$pmat,$aexp,$flex,$pcon,$tool,$time,$stor,$docu,$b,$plex,$pcap,$kloc,$ltex,$pr,$ruse,$team,$pvol,<$Effort,<$Months,<$Defects,<$Risks
5.26371,1.0931,1.39031,0.93332,2.83,0.924,2.81991,1.26,1.14,3.41898,2.81325,0.95901,3.04,1.06868,0.85453,1.0,1.0,1.03593,7.51374,0.99506,1.0,98.0836,0.87784,4.90775,1.01329,3.29,1.0,1763.19572989,36.6445180238,9726.67079728,1.60857908847
4.38341,1.11173,1.37508,0.99924,2.83,1.02707,2.46306,1.26,1.14,2.39355,1.78616,0.91027,3.04,1.09151,0.84056,1.0,1.0,1.06034,4.30521,0.93885,1.0,119.72056,0.95649,4.02877,0.9574,3.29,1.0,726.612199112,18.6121381197,5131.78201333,3.48525469169
5.26908,1.12212,1.49478,0.99034,2.83,1.00841,5.16622,1.26,1.14,2.48592,3.00827,1.04908,3.04,1.05994,0.90634,1.0,1.0,1.1062,5.84595,0.9425,1.0,75.01077,0.89021,1.69049,1.04264,3.29,1.0,1428.98250739,43.4054881684,3642.92349341,2.14477211796
2.83717,1.05436,1.52601,0.89527,2.83,0.97603,2.12751,1.26,1.14,2.02567,2.75804,0.91587,3.04,1.02051,1.03218,1.0,1.0,1.06511,6.49806,0.99564,1.0,85.8763,0.86968,5.63013,1.00889,3.29,1.0,30.0192571475,10.8034269103,168.994844359,1.60857908847
4.55422,1.08758,1.41637,0.90559,2.83,1.14476,3.56466,1.26,1.14,1.41027,1.90969,0.93359,3.04,1.02059,0.86329,1.0,1.0,1.04437,3.38886,0.91026,1.0,78.1735,1.01442,5.94907,1.01451,3.29,1.0,1499.45451918,29.8009807978,22499.4025694,3.75335120643
4.58203,1.06833,1.54914,0.80096,2.83,1.14948,3.36216,1.26,1.14,1.86304,2.20148,0.91859,3.04,1.10563,0.86005,1.0,1.0,1.01411,9.15219,0.91503,1.0,81.55036,0.96268,3.42329,0.95354,3.29,1.0,1318.51846598,26.7820608161,17169.6367287,1.07238605898
5.21337,1.06087,1.41306,0.92095,2.83,1.15645,1.58659,1.26,1.14,3.11831,2.07778,0.88818,3.04,1.03859,0.88335,1.0,1.0,1.02928,6.60866,0.91505,1.0,107.87196,1.02425,1.12064,1.02049,3.29,1.0,3327.33187646,31.0217058486,18188.5576811,5.36193029491
1.8566,1.11166,1.65338,0.97388,2.83,0.88814,5.12734,1.26,1.14,1.78357,1.89851,0.96259,3.04,1.08328,1.00148,1.0,1.0,1.088,9.12796,0.97707,1.0,102.21163,0.93908,3.69586,0.96465,3.29,1.0,674.106519336,29.0428665827,4791.30662779,4.02144772118
1.26133,1.09208,1.7286,0.9678,2.83,0.96071,3.87561,1.26,1.14,1.33704,2.80704,0.96822,3.04,1.03052,1.08259,1.0,1.0,1.01644,5.72736,0.94788,1.0,113.22895,0.97531,5.41705,0.98648,3.29,1.0,2573.48222498,32.9756202826,23787.2867404,3.75335120643
2.72379,1.10711,1.35853,0.82861,2.83,1.01829,2.42515,1.26,1.14,2.2344,2.45744,1.0866,3.04,1.024,0.9273,1.0,1.0,1.06455,3.24825,0.91904,1.0,89.68503,0.88611,5.3231,1.0533,3.29,1.0,3111.52837569,30.0109577921,11652.1264253,8.3109919571
2.36486,1.0812,1.68733,0.87897,2.83,1.15198,4.32995,1.26,1.14,3.01199,1.81252,0.92088,3.04,1.10817,1.08996,1.0,1.0,1.07453,3.29033,0.99273,1.0,90.36515,0.98154,2.26475,0.9678,3.29,1.0,1961.67459867,35.9762359602,5604.75649725,0.0
5.31159,1.04512,1.46357,0.90611,2.83,1.07081,3.86044,1.26,1.14,2.25553,2.15006,0.90554,3.04,1.02447,1.02138,1.0,1.0,1.06673,6.79146,0.98164,1.0,97.13527,0.88709,3.18058,1.00823,3.29,1.0,279.890391571,19.6662862068,922.020128173,2.14477211796
2.6957,1.10464,1.65378,0.80532,2.83,0.89047,2.37948,1.26,1.14,3.28816,2.53912,1.02318,3.04,1.06237,1.06578,1.0,1.0,1.07001,8.90737,0.93873,1.0,88.66239,0.9903,2.43668,1.03512,3.29,1.0,754.658285221,19.2916622951,5099.68267508,3.75335120643
2.29854,1.04448,1.58327,0.81448,2.83,0.87671,5.02657,1.26,1.14,3.07622,1.65551,0.91827,3.04,1.05736,0.85529,1.0,1.0,1.10218,3.09122,0.97874,1.0,90.79279,1.02184,4.3565,1.00334,3.29,1.0,1468.0898351,46.2077035306,15754.3616014,0.536193029491
4.61437,1.12982,1.42861,0.87223,2.83,1.02377,3.01127,1.26,1.14,1.34255,2.7347,1.0198,3.04,1.0138,1.08862,1.0,1.0,1.0745,8.39572,0.94207,1.0,117.53095,0.97048,5.91507,1.05579,3.29,1.0,6125.33759246,73.4642711094,24152.584911,0.536193029491
2.49418,1.08321,1.38641,0.91665,2.83,1.14919,5.89973,1.26,1.14,3.70053,2.47596,1.06519,3.04,1.02991,0.78353,1.0,1.0,1.03043,3.27216,0.9239,1.0,112.81149,1.0321,3.122,1.05384,3.29,1.0,920.998357278,24.0873491462,3398.79359694,0.536193029491
1.70162,1.08236,1.55351,0.84548,2.83,0.98021,5.74773,1.26,1.14,3.16903,3.04222,1.08252,3.04,1.11928,0.88799,1.0,1.0,1.02782,4.35624,0.97706,1.0,89.07983,1.03542,5.58706,1.06771,3.29,1.0,902.481787076,19.7916035477,5412.11124248,3.21715817694
2.03212,1.00751,1.42419,0.97356,2.83,0.93662,1.37909,1.26,1.14,1.39226,2.73606,0.9326,3.04,1.07018,0.93322,1.0,1.0,1.08635,5.39668,0.93849,1.0,96.50039,0.88169,3.4434,0.98296,3.29,1.0,335.002295729,22.1152489646,2707.89770653,0.0
1.49092,1.07819,1.3959,0.88182,2.83,0.97527,2.59941,1.26,1.14,3.26956,2.84468,1.07981,3.04,1.04978,0.87789,1.0,1.0,1.08668,6.34476,0.98804,1.0,80.84615,0.87483,1.29977,1.05756,3.29,1.0,10559.5793206,57.9830289461,45848.8913602,0.536193029491
