$aa,$sced,$cplx,$site,$resl,$acap,$etat,$rely,$Data,$prec,$pmat,$aexp,$flex,$pcon,$tool,$time,$stor,$docu,$b,$plex,$pcap,$kloc,$ltex,$pr,$ruse,$team,$pvol,<$Effort,<$Months,<$Defects,<$Risks
3.61372,1.23646,0.98518,1.18773,2.10762,0.94678,2.39866,1.03317,0.92039,3.30465,6.29758,0.98558,4.49001,1.26549,1.09,1.03894,1.04511,1.16775,3.27866,1.03075,0.89053,205.66772,1.17808,1.99893,1.02572,3.37011,1.06105,2738.75742929,28.0173264766,10116.7092285,7.77479892761
5.20561,1.27667,1.04926,0.85108,3.19793,0.99139,1.49062,0.93753,0.9255,3.78743,3.91691,0.94408,3.64955,0.95821,1.09,1.01512,1.04711,0.91755,3.44321,1.08442,0.78879,268.34018,1.09009,5.58695,1.03281,3.22274,1.28524,3477.7262017,31.3032424351,45523.2761585,4.82573726542
3.97758,1.31839,1.0557,1.03856,6.70793,0.90899,4.42841,1.08839,0.95333,1.31921,4.43312,0.88992,4.80293,1.13496,1.09,1.08632,1.00863,0.94397,6.69341,1.07924,0.99252,270.54886,1.11797,5.42062,1.17272,1.94288,0.93037,1251.65926529,24.5497301148,23437.999734,5.36193029491
1.17678,1.3384,1.15293,1.10389,4.58732,0.88157,4.55263,1.05051,0.93724,4.31565,4.44081,1.09147,2.16618,0.94187,1.09,1.08781,1.03869,0.85904,6.89689,1.12645,0.80301,196.14954,1.13345,5.57183,1.00241,1.85278,1.02885,905.307341905,27.9572222408,13870.6375536,0.536193029491
1.82863,1.15288,0.83789,1.18569,4.2709,0.95691,1.62054,1.01397,0.94543,5.40724,3.87984,1.05544,1.55372,0.88011,1.09,1.01905,1.02666,1.01052,9.65909,1.10875,0.87088,139.74012,0.92433,5.52479,1.07853,3.36051,0.88044,1327.68115597,26.8119047765,10091.6676121,2.14477211796
2.53159,1.01176,0.96067,1.16109,4.22875,0.75955,1.80898,0.92219,0.91491,4.82232,3.47399,1.07339,3.04668,1.16763,1.09,1.07569,1.00953,1.03379,4.74111,1.02968,0.86937,335.13605,1.05915,4.71097,1.16559,4.13085,1.28143,2815.33657172,30.0446942562,32277.4377447,3.48525469169
4.61001,1.2303,1.07542,0.83779,2.09016,0.74156,1.27269,0.90025,0.99153,4.83444,4.15195,0.99598,3.81753,1.20355,1.09,1.09127,1.01026,1.08506,7.22136,1.07239,0.94493,40.33987,0.92058,2.37038,1.12706,2.10126,0.99832,48.9929294981,8.48249888508,112.445050965,5.09383378016
4.30176,1.29455,0.80789,0.82993,2.59918,0.91987,3.35912,1.09033,0.99455,3.1739,2.6094,0.83257,3.8471,0.87808,1.09,1.01302,1.01444,1.18087,8.05858,0.95255,0.83117,169.59595,0.97685,2.36623,1.04634,2.12145,1.14995,1176.51135985,25.3364491837,3566.79586632,5.09383378016
2.2342,1.42365,1.0331,1.05946,4.24471,0.85548,3.00743,0.99938,0.90616,4.33001,5.31656,0.84477,3.88323,1.28476,1.09,1.00839,1.00267,1.09538,5.14245,1.11131,0.87991,42.76874,1.05641,3.91326,0.97777,4.41865,0.91156,2735.54429162,56.6826602715,14190.744911,2.14477211796
2.04918,1.32506,0.90088,0.88795,3.03031,0.82218,4.40957,0.85432,0.94362,2.23014,2.93157,0.89554,2.21931,1.16586,1.09,1.07016,1.02485,1.06019,8.11099,1.03876,0.76228,64.78397,1.18798,1.34061,1.01777,1.5856,0.92593,367.886464027,22.7357662284,3945.59624962,1.07238605898
5.83099,1.06152,0.83593,1.12653,4.41449,0.72916,5.25096,0.9318,0.94554,1.56703,4.62453,1.02497,4.14275,0.84005,1.09,1.08982,1.04901,0.90597,5.55855,0.91153,0.94194,256.86506,1.08144,5.64296,1.1718,3.64117,1.246,4744.36604918,33.0802188824,30299.768062,5.36193029491
2.43012,1.20864,0.84009,0.81356,3.68422,0.81054,4.90338,0.94151,0.94167,1.26517,7.71275,0.86841,1.4622,0.93266,1.09,1.0256,1.027,1.1421,8.03358,1.14571,0.82784,302.58984,0.9711,5.34305,1.02037,3.09385,1.0829,3570.45316267,44.5763232346,19764.9282509,0.268096514745
3.985,1.02689,1.03826,1.11656,7.01791,0.78106,5.34339,0.94244,0.9064,3.70992,5.96694,0.97346,3.09514,0.82652,1.09,1.07588,1.01649,1.22597,4.2353,1.00737,0.89102,373.73153,1.10427,3.16525,1.14244,4.38566,1.08548,1349.58929854,24.3964099242,16651.4915424,6.43431635389
