$aa,$sced,$cplx,$site,$resl,$acap,$etat,$rely,$Data,$prec,$pmat,$aexp,$flex,$pcon,$tool,$time,$stor,$docu,$b,$plex,$pcap,$kloc,$ltex,$pr,$ruse,$team,$pvol,<$Effort,<$Months,<$Defects,<$Risks
4.97357,1.2166,0.83529,1.02067,3.41091,0.96579,2.1299,1.08605,1.08764,4.77609,6.62331,1.12064,2.89368,1.17889,0.86066,1.59278,1.09688,1.11667,3.16915,1.0618,0.84482,201.63386,0.90959,5.15212,1.18009,3.60876,1.29288,4075.76724041,32.6177357558,18208.9640406,6.97050938338
1.10996,1.3407,1.35056,1.11807,6.02541,1.16858,4.67199,1.03861,1.0384,1.82364,7.00176,1.00118,1.75047,0.99499,1.06428,1.16873,1.14168,1.19645,3.65035,1.07081,0.95711,98.31665,0.94748,1.32065,1.23765,2.24191,0.97736,2335.90355799,55.6367912819,16313.2994244,1.87667560322
4.94742,1.22192,1.10635,0.85514,4.26506,0.77804,1.28373,1.25009,1.03545,5.06141,5.42754,1.19612,2.38838,1.04443,0.95062,1.46533,1.07274,1.07016,5.1939,0.94782,0.88062,238.04231,1.0085,5.07759,0.97084,1.4797,1.2443,1686.11094949,49.0995124895,17493.4953543,1.87667560322
4.05475,1.40235,1.71402,0.95801,2.21084,0.7632,2.6003,1.08062,0.92828,3.03832,5.2737,1.08641,1.28171,0.88196,0.96868,1.12907,1.00413,0.93243,5.25733,0.93984,0.8328,133.09635,1.19322,2.99326,1.12153,2.05548,1.08867,3363.48048572,36.0885131036,18305.0412155,2.41286863271
2.78116,1.14221,1.21673,1.03273,3.15842,0.73894,1.85895,1.22869,1.03031,5.98877,7.67539,1.11573,1.37937,1.10239,1.07453,1.45718,1.023,1.15716,7.75141,1.08753,0.9432,281.524,1.15226,5.2286,1.21653,2.29268,1.08456,2521.09447449,41.2489658311,30230.7710222,1.60857908847
3.03602,1.13997,0.83292,0.81818,5.21171,1.08055,1.86289,0.93293,1.04211,1.2421,5.87317,1.05502,2.08012,0.88538,1.03986,1.61936,1.07052,1.04214,9.26514,1.02772,0.80847,38.08988,1.11003,5.53896,1.08364,3.67529,1.05107,5086.80620335,40.2528632608,38178.5788867,2.9490616622
5.04318,1.09623,0.86974,0.86063,6.31924,1.04274,5.27352,0.8992,1.13736,2.66688,4.98226,1.06367,4.47742,1.08045,0.96759,1.38797,1.12137,0.95297,3.00009,1.00554,0.90883,200.68805,1.052,4.95744,1.08451,3.27557,1.14396,895.225401439,41.2347146453,15297.4645,1.87667560322
3.65986,1.08965,1.35447,1.03995,5.52551,0.86165,3.53561,0.92768,1.05196,5.70492,2.40358,0.98163,4.08113,1.00761,1.06552,1.00789,1.06957,0.86014,9.43025,1.16525,0.91573,368.55379,0.95085,5.09292,1.04525,5.08607,1.03962,806.563672715,28.3915986886,9630.41065712,1.60857908847
1.63291,1.23676,1.1596,0.81996,4.62467,0.97162,4.85725,1.08362,1.01099,4.57917,6.1599,0.82647,1.87149,0.84174,0.98835,1.39188,1.13911,0.96908,8.00379,1.0359,0.80316,362.50649,0.89609,2.40115,1.10817,5.1103,0.95333,1675.54957046,29.7898195092,32892.051199,2.41286863271
3.15228,1.17274,1.10691,1.08959,3.64093,1.14087,3.92614,0.83266,1.05042,5.56784,1.65737,1.1778,4.1897,1.25318,0.91331,1.60654,1.01065,1.22272,4.5855,1.05501,0.9346,31.36458,0.92467,5.04456,1.19576,5.46325,1.17266,1678.34416674,35.2232514504,12667.8259281,5.09383378016
